,price,minimum_nights,label
764,55,30,1
765,47,3,1
766,2228,1,1
767,197,5,1
768,79,5,1
769,40,3,1
770,85,28,1
771,90,5,1
772,40,2,1
773,45,1,1
774,62,3,1
775,45,3,1
776,95,2,1
777,55,2,1
778,49,1,1
779,42,2,1
780,106,60,1
781,45,2,1
782,30,185,1
783,69,60,1
784,88,5,1
785,50,5,1
786,80,2,1
787,80,3,1
788,61,90,1
789,35,4,1
790,45,3,1
791,139,60,1
792,79,11,1
793,72,1,1
794,59,4,1
795,65,4,1
796,30,3,1
797,45,90,1
798,75,59,1
799,50,7,1
800,90,5,1
801,50,5,1
802,75,4,1
803,47,1,1
804,100,3,1
805,31,60,1
806,31,90,1
807,49,60,1
808,42,3,1
809,31,90,1
810,90,3,1
811,62,3,1
812,105,5,1
813,100,90,1
814,110,180,1
815,30,2,1
816,80,90,1
817,100,10,1
818,60,6,1
819,100,90,1
820,95,2,1
821,95,2,1
822,111,14,1
823,35,2,1
824,65,2,1
825,37,4,1
826,146,2,1
827,24,2,1
828,70,2,1
829,69,3,1
830,44,100,1
831,65,3,1
832,75,58,1
833,65,1,1
834,120,2,1
835,24,5,1
836,69,1,1
837,90,4,1
838,59,1,1
839,60,1,1
840,44,4,1
841,48,2,1
842,69,1,1
843,42,1,1
844,29,3,1
845,45,3,1
846,35,7,1
847,44,2,1
848,650,1,1
849,100,3,1
850,85,4,1
851,57,62,1
852,33,1,1
853,27,3,1
854,40,3,1
855,72,30,1
856,38,2,1
857,29,3,1
858,130,2,1
859,100,2,1
860,40,2,1
861,131,4,1
862,25,2,1
863,145,3,1
864,73,2,1
865,145,4,1
866,70,2,1
867,65,4,1
868,75,10,1
869,77,3,1
870,329,2,1
871,60,4,1
872,27,3,1
873,65,61,1
874,70,4,1
875,92,2,1
876,65,3,1
877,99,3,1
878,74,120,1
879,75,1,1
880,165,3,1
881,29,2,1
882,89,2,1
883,30,3,1
884,85,1,1
885,120,61,1
886,55,3,1
887,43,60,1
888,44,20,1
889,39,2,1
890,109,3,1
891,89,30,1
892,50,90,1
893,35,2,1
894,57,2,1
895,95,4,1
896,70,2,1
897,135,2,1
898,35,3,1
899,35,4,1
900,110,6,1
901,58,1,1
902,58,1,1
903,28,3,1
904,39,1,1
905,30,2,1
906,82,3,1
907,42,30,1
908,70,7,1
909,35,6,1
910,65,2,1
911,59,2,1
912,95,3,1
913,65,1,1
914,30,3,1
915,36,3,1
916,25,1,1
917,32,2,1
918,43,3,1
919,25,1,1
920,75,29,1
921,30,3,1
922,69,30,1
923,46,60,1
924,110,3,1
925,35,1,1
926,40,2,1
927,35,5,1
928,28,4,1
929,48,30,1
930,55,1,1
931,65,3,1
932,150,7,1
933,60,3,1
934,59,3,1
935,55,4,1
936,36,3,1
937,50,20,1
938,36,2,1
939,75,5,1
940,30,3,1
941,60,2,1
942,108,5,1
943,58,90,1
944,48,14,1
945,36,2,1
946,55,1,1
947,38,62,1
948,40,2,1
949,64,1,1
950,68,7,1
951,68,7,1
952,35,2,1
953,40,4,1
954,57,6,1
955,65,5,1
956,26,3,1
957,95,4,1
958,40,2,1
959,165,2,1
960,54,3,1
961,65,2,1
962,100,20,1
963,69,3,1
964,50,5,1
965,34,1,1
966,73,4,1
967,55,5,1
968,100,3,1
969,37,2,1
970,80,90,1
971,23,180,1
972,98,3,1
973,40,1,1
974,78,7,1
975,29,5,1
976,68,1,1
977,89,5,1
978,60,2,1
979,30,27,1
980,25,27,1
981,49,4,1
982,200,2,1
983,70,10,1
984,78,1,1
985,87,4,1
986,125,2,1
987,70,2,1
988,102,4,1
989,77,1,1
990,58,2,1
991,42,185,1
992,120,3,1
993,70,1,1
994,85,3,1
995,49,2,1
996,95,60,1
997,175,6,1
998,75,10,1
999,38,9,1
1000,28,61,1
1001,100,200,1
1002,100,5,1
1003,60,4,1
1004,160,3,1
1005,350,3,1
1006,55,1,1
1007,44,4,1
1008,99,4,1
1009,18,2,1
1010,28,2,1
1011,45,360,1
1012,120,4,1
1013,30,2,1
1014,78,21,1
1015,42,5,1
1016,70,10,1
1017,28,61,1
1018,36,2,1
1019,45,1,1
1020,50,14,1
1021,29,2,1
1022,47,60,1
1023,65,1,1
1024,50,2,1
1025,115,2,1
1026,45,1,1
1027,90,3,1
1028,45,62,1
1029,50,2,1
1030,97,30,1
1031,119,3,1
1032,45,5,1
1033,65,2,1
1034,110,1,1
1035,39,2,1
1036,24,1,1
1037,60,6,1
1038,350,7,1
1039,36,10,1
1040,41,3,1
1041,30,30,1
1042,79,2,1
1043,100,1,1
1044,45,60,1
1045,140,2,1
1046,21,40,1
1047,55,1,1
1048,50,3,1
1049,42,2,1
1050,86,3,1
1051,60,180,1
1052,35,2,1
1053,95,5,1
1054,60,2,1
1055,35,2,1
1056,65,1,1
1057,60,10,1
1058,89,2,1
1059,55,7,1
1060,75,3,1
1061,85,2,1
1062,28,2,1
1063,60,5,1
1064,30,3,1
1065,95,2,1
1066,135,30,1
1067,125,3,1
1068,80,20,1
1069,99,3,1
1070,110,4,1
1071,28,1,1
1072,55,28,1
1073,110,3,1
1074,77,23,1
1075,30,4,1
1076,130,3,1
1077,25,2,1
1078,100,60,1
1079,58,2,1
1080,146,2,1
1081,140,10,1
1082,60,4,1
1083,59,2,1
1084,49,1,1
1085,58,14,1
1086,200,7,1
1087,68,3,1
1088,68,3,1
