,number_of_reviews,price,label
844,23,29,1
845,72,45,1
846,7,35,1
847,42,44,1
848,38,650,1
849,155,100,1
850,42,85,1
851,30,57,1
852,8,33,1
853,27,27,1
854,70,40,1
855,4,72,1
856,3,38,1
857,2,29,1
858,65,130,1
859,77,100,1
860,58,40,1
861,136,131,1
862,50,25,1
863,23,145,1
864,36,73,1
865,167,145,1
866,25,70,1
867,10,65,1
868,17,75,1
869,290,77,1
870,14,329,1
871,12,60,1
872,196,27,1
873,0,65,1
874,115,70,1
875,239,92,1
876,220,65,1
877,13,99,1
878,0,74,1
879,387,75,1
880,128,165,1
881,122,29,1
882,11,89,1
883,34,30,1
884,359,85,1
885,29,120,1
886,63,55,1
887,5,43,1
888,6,44,1
889,0,39,1
890,9,109,1
891,38,89,1
892,10,50,1
893,38,35,1
894,185,57,1
895,34,95,1
896,9,70,1
897,42,135,1
898,5,35,1
899,8,35,1
900,5,110,1
901,61,58,1
902,46,58,1
903,26,28,1
904,121,39,1
905,2,30,1
906,237,82,1
907,5,42,1
908,8,70,1
909,14,35,1
910,302,65,1
911,20,59,1
912,10,95,1
913,130,65,1
914,0,30,1
915,28,36,1
916,6,25,1
917,43,32,1
918,60,43,1
919,33,25,1
920,14,75,1
921,36,30,1
922,10,69,1
923,67,46,1
924,29,110,1
925,48,35,1
926,101,40,1
927,11,35,1
928,23,28,1
929,52,48,1
930,26,55,1
931,102,65,1
932,4,150,1
933,155,60,1
934,64,59,1
935,29,55,1
936,51,36,1
937,21,50,1
938,97,36,1
939,40,75,1
940,63,30,1
941,19,60,1
942,6,108,1
943,162,58,1
944,6,48,1
945,19,36,1
946,40,55,1
947,152,38,1
948,6,40,1
949,190,64,1
950,2,68,1
951,2,68,1
952,18,35,1
953,1,40,1
954,7,57,1
955,27,65,1
956,14,26,1
957,0,95,1
958,12,40,1
959,27,165,1
960,76,54,1
961,226,65,1
962,0,100,1
963,5,69,1
964,36,50,1
965,133,34,1
966,167,73,1
967,4,55,1
968,194,100,1
969,9,37,1
970,21,80,1
971,3,23,1
972,299,98,1
973,31,40,1
974,234,78,1
975,40,29,1
976,49,68,1
977,3,89,1
978,40,60,1
979,18,30,1
980,30,25,1
981,14,49,1
982,44,200,1
983,6,70,1
984,16,78,1
985,109,87,1
986,4,125,1
987,49,70,1
988,126,102,1
989,13,77,1
990,181,58,1
991,115,42,1
992,1,120,1
993,3,70,1
994,112,85,1
995,28,49,1
996,45,95,1
997,21,175,1
998,5,75,1
999,24,38,1
1000,47,28,1
1001,11,100,1
1002,14,100,1
1003,11,60,1
1004,3,160,1
1005,29,350,1
1006,124,55,1
1007,38,44,1
1008,20,99,1
1009,186,18,1
1010,196,28,1
1011,19,45,1
1012,25,120,1
1013,1,30,1
1014,11,78,1
1015,21,42,1
1016,20,70,1
1017,14,28,1
1018,67,36,1
1019,115,45,1
1020,4,50,1
1021,8,29,1
1022,126,47,1
1023,58,65,1
1024,78,50,1
1025,7,115,1
1026,34,45,1
1027,36,90,1
1028,18,45,1
1029,14,50,1
1030,20,97,1
1031,208,119,1
1032,17,45,1
1033,66,65,1
1034,49,110,1
1035,8,39,1
1036,0,24,1
1037,19,60,1
1038,9,350,1
1039,6,36,1
1040,42,41,1
1041,4,30,1
1042,116,79,1
1043,8,100,1
1044,61,45,1
1045,163,140,1
1046,2,21,1
1047,23,55,1
1048,43,50,1
1049,286,42,1
1050,78,86,1
1051,36,60,1
1052,265,35,1
1053,1,95,1
1054,168,60,1
1055,22,35,1
1056,9,65,1
1057,3,60,1
1058,68,89,1
1059,23,55,1
1060,91,75,1
1061,129,85,1
1062,3,28,1
1063,17,60,1
1064,151,30,1
1065,46,95,1
1066,174,135,1
1067,98,125,1
1068,3,80,1
1069,2,99,1
1070,95,110,1
1071,12,28,1
1072,14,55,1
1073,29,110,1
1074,0,77,1
1075,28,30,1
1076,61,130,1
1077,171,25,1
1078,122,100,1
1079,120,58,1
1080,0,146,1
1081,2,140,1
1082,1,60,1
1083,69,59,1
1084,276,49,1
1085,22,58,1
1086,5,200,1
1087,103,68,1
1088,188,68,1
1089,44,54,1
1090,26,45,1
1091,0,199,1
1092,25,29,1
1093,39,60,1
1094,6,68,1
1095,22,38,1
1096,21,59,1
1097,310,130,1
1098,238,40,1
1099,9,38,1
1100,68,105,1
1101,0,50,1
1102,189,45,1
1103,9,75,1
1104,82,33,1
1105,103,65,1
1106,48,102,1
1107,59,104,1
1108,68,104,1
1109,92,85,1
1110,122,23,1
1111,106,24,1
1112,49,29,1
1113,4,65,1
1114,9,75,1
1115,9,140,1
1116,136,76,1
1117,104,117,1
1118,4,60,1
1119,3,110,1
1120,8,73,1
1121,19,75,1
1122,30,65,1
1123,20,46,1
1124,22,27,1
1125,52,31,1
1126,15,280,1
1127,36,55,1
1128,181,52,1
1129,1,99,1
1130,94,38,1
1131,58,62,1
1132,19,40,1
1133,63,85,1
1134,2,76,1
1135,21,39,1
1136,0,57,1
1137,117,65,1
1138,30,50,1
1139,1,45,1
1140,82,107,1
1141,0,50,1
1142,44,62,1
1143,27,54,1
1144,8,158,1
1145,6,27,1
1146,8,50,1
1147,109,65,1
1148,19,49,1
1149,26,60,1
1150,48,42,1
1151,2,82,1
1152,25,25,1
1153,4,60,1
1154,166,63,1
1155,21,125,1
1156,17,38,1
1157,6,90,1
1158,5,59,1
1159,3,32,1
1160,2,80,1
1161,287,120,1
1162,1,45,1
1163,18,65,1
1164,120,35,1
1165,35,90,1
1166,121,80,1
1167,29,115,1
1168,7,48,1
1169,4,90,1
1170,11,79,1
1171,171,49,1
1172,26,130,1
1173,43,32,1
1174,16,52,1
1175,1,60,1
1176,234,34,1
1177,104,40,1
1178,52,50,1
1179,129,49,1
1180,25,50,1
1181,51,27,1
1182,228,137,1
1183,2,20,1
1184,9,85,1
1185,9,55,1
1186,75,65,1
1187,8,37,1
1188,3,100,1
1189,196,65,1
1190,3,130,1
1191,4,50,1
1192,3,62,1
1193,24,129,1
1194,68,59,1
1195,54,65,1
1196,104,38,1
1197,19,53,1
1198,14,78,1
1199,68,60,1
1200,24,55,1
1201,20,63,1
1202,7,80,1
1203,12,21,1
1204,209,40,1
1205,54,64,1
1206,53,50,1
1207,17,53,1
1208,11,40,1
1209,46,37,1
1210,14,120,1
1211,36,20,1
1212,93,70,1
1213,121,39,1
1214,2,30,1
1215,10,85,1
1216,3,40,1
1217,13,35,1
1218,4,70,1
1219,60,99,1
1220,97,75,1
1221,174,80,1
1222,5,80,1
1223,14,55,1
1224,12,75,1
1225,16,25,1
1226,29,45,1
1227,38,155,1
1228,43,50,1
1229,3,45,1
1230,1,45,1
1231,5,35,1
1232,15,50,1
1233,5,25,1
1234,0,48,1
1235,5,60,1
1236,18,17,1
1237,2,33,1
1238,143,80,1
1239,35,32,1
1240,24,65,1
1241,145,43,1
1242,34,48,1
1243,0,36,1
1244,46,24,1
1245,106,40,1
1246,48,49,1
1247,3,20,1
1248,10,30,1
1249,14,45,1
1250,6,25,1
1251,45,39,1
1252,6,43,1
1253,86,60,1
1254,4,41,1
1255,16,20,1
1256,2,97,1
1257,334,39,1
1258,9,25,1
1259,29,42,1
1260,161,36,1
1261,38,30,1
1262,42,59,1
1263,5,30,1
1264,36,89,1
1265,1,36,1
1266,33,35,1
1267,2,80,1
1268,9,60,1
1269,2,35,1
1270,0,580,1
1271,6,45,1
1272,3,45,1
1273,95,69,1
1274,51,56,1
1275,92,55,1
1276,120,40,1
1277,34,27,1
1278,16,15,1
1279,91,199,1
1280,0,42,1
1281,0,59,1
1282,4,80,1
1283,10,82,1
1284,25,59,1
1285,26,120,1
1286,0,65,1
1287,41,47,1
1288,5,80,1
1289,182,84,1
1290,1,65,1
1291,43,52,1
1292,106,45,1
1293,2,59,1
1294,10,99,1
1295,49,45,1
1296,32,32,1
1297,26,55,1
1298,126,17,1
1299,133,33,1
1300,94,25,1
1301,89,25,1
1302,1,84,1
1303,5,99,1
1304,21,33,1
1305,12,54,1
1306,80,65,1
1307,355,58,1
1308,279,35,1
1309,67,124,1
1310,283,28,1
1311,0,79,1
1312,142,70,1
1313,20,33,1
1314,1,145,1
1315,0,30,1
1316,4,30,1
1317,29,81,1
1318,16,102,1
1319,69,68,1
1320,263,40,1
1321,185,60,1
1322,24,95,1
1323,265,34,1
1324,2,25,1
1325,19,30,1
1326,357,95,1
1327,0,34,1
1328,109,49,1
1329,0,70,1
1330,50,54,1
1331,86,69,1
1332,47,44,1
1333,7,45,1
1334,67,80,1
1335,8,20,1
1336,94,79,1
1337,8,25,1
1338,0,22,1
1339,0,50,1
1340,48,120,1
1341,22,44,1
1342,61,58,1
1343,8,65,1
1344,25,110,1
1345,80,58,1
1346,100,50,1
1347,42,54,1
1348,7,40,1
1349,2,50,1
1350,15,49,1
1351,13,296,1
1352,46,35,1
1353,6,80,1
1354,39,35,1
1355,4,80,1
1356,0,150,1
1357,16,49,1
1358,23,89,1
1359,17,58,1
1360,9,40,1
1361,84,90,1
1362,55,69,1
1363,86,100,1
1364,0,60,1
1365,106,250,1
1366,68,28,1
1367,47,30,1
1368,0,55,1
1369,0,193,1
1370,17,129,1
1371,77,99,1
1372,178,90,1
1373,27,57,1
1374,3,35,1
1375,14,52,1
1376,234,69,1
1377,31,95,1
1378,2,49,1
1379,116,37,1
1380,4,45,1
1381,0,61,1
1382,5,149,1
1383,32,60,1
1384,4,49,1
1385,32,44,1
1386,153,19,1
1387,73,91,1
1388,253,210,1
1389,0,30,1
1390,9,50,1
1391,87,40,1
1392,128,39,1
1393,2,90,1
1394,246,35,1
1395,25,35,1
1396,163,60,1
1397,16,61,1
1398,5,105,1
1399,6,60,1
1400,147,65,1
1401,3,30,1
1402,54,69,1
1403,104,62,1
1404,7,75,1
1405,36,55,1
1406,4,20,1
1407,69,30,1
1408,1,25,1
1409,128,38,1
1410,49,45,1
1411,13,55,1
1412,67,30,1
1413,15,65,1
1414,1,80,1
1415,0,60,1
1416,111,39,1
1417,61,110,1
1418,267,39,1
1419,129,75,1
1420,7,38,1
1421,5,29,1
1422,35,55,1
1423,1,71,1
1424,10,93,1
1425,102,99,1
1426,87,98,1
1427,14,33,1
1428,29,22,1
1429,7,99,1
1430,192,25,1
1431,67,50,1
1432,68,99,1
1433,11,120,1
1434,161,300,1
1435,3,45,1
1436,1,125,1
1437,49,39,1
1438,2,65,1
1439,61,235,1
1440,0,43,1
1441,2,60,1
1442,10,40,1
1443,3,50,1
1444,0,40,1
1445,118,54,1
1446,7,65,1
1447,75,180,1
1448,14,180,1
1449,12,42,1
1450,176,59,1
1451,2,54,1
1452,104,90,1
1453,94,69,1
1454,12,169,1
1455,20,100,1
1456,65,95,1
1457,116,52,1
1458,10,60,1
1459,54,59,1
1460,81,199,1
1461,85,75,1
1462,0,35,1
1463,2,59,1
1464,11,45,1
1465,20,49,1
1466,229,35,1
1467,48,23,1
1468,9,34,1
1469,4,70,1
1470,20,30,1
1471,63,47,1
1472,5,60,1
1473,35,30,1
1474,10,100,1
1475,0,45,1
1476,28,95,1
1477,5,65,1
1478,39,150,1
1479,48,300,1
1480,1,40,1
1481,32,80,1
1482,3,30,1
1483,12,90,1
1484,1,60,1
1485,70,107,1
1486,0,50,1
1487,157,55,1
1488,44,69,1
1489,199,65,1
1490,18,50,1
1491,22,40,1
1492,6,30,1
1493,40,28,1
1494,10,60,1
1495,4,51,1
1496,45,45,1
1497,26,49,1
1498,7,30,1
1499,14,49,1
1500,139,75,1
1501,66,89,1
1502,26,35,1
1503,36,85,1
1504,74,32,1
1505,266,77,1
1506,89,35,1
1507,36,60,1
1508,76,130,1
1509,0,100,1
1510,47,35,1
1511,1,60,1
1512,11,67,1
1513,3,50,1
1514,2,42,1
1515,127,20,1
1516,3,100,1
1517,2,25,1
1518,105,90,1
1519,8,55,1
1520,1,90,1
1521,10,55,1
1522,8,50,1
1523,0,150,1
1524,27,94,1
1525,45,229,1
1526,1,40,1
1527,7,65,1
1528,1,30,1
1529,131,70,1
1530,9,70,1
1531,8,70,1
1532,9,75,1
1533,44,91,1
1534,1,40,1
1535,58,35,1
1536,0,45,1
1537,28,22,1
1538,133,31,1
1539,136,45,1
1540,0,50,1
1541,4,30,1
1542,1,59,1
1543,18,50,1
1544,10,60,1
1545,2,78,1
1546,17,68,1
1547,4,50,1
1548,23,55,1
1549,17,25,1
1550,60,60,1
1551,0,45,1
1552,62,48,1
1553,1,70,1
1554,10,58,1
1555,40,390,1
1556,0,49,1
1557,11,64,1
1558,163,63,1
1559,5,50,1
1560,1,59,1
1561,201,79,1
1562,0,28,1
1563,3,43,1
1564,3,60,1
1565,82,65,1
1566,21,109,1
1567,3,75,1
1568,1,50,1
1569,9,120,1
1570,142,30,1
1571,1,70,1
1572,51,55,1
1573,5,15,1
1574,17,36,1
1575,3,70,1
1576,111,39,1
1577,126,46,1
1578,98,115,1
1579,2,80,1
1580,136,29,1
1581,4,108,1
1582,2,69,1
1583,11,50,1
1584,8,30,1
1585,97,99,1
1586,3,40,1
1587,19,55,1
1588,2,25,1
1589,177,98,1
1590,0,210,1
1591,20,89,1
1592,3,55,1
1593,120,30,1
1594,10,90,1
1595,18,59,1
1596,70,55,1
1597,7,169,1
1598,9,85,1
1599,15,35,1
1600,3,45,1
1601,9,81,1
1602,37,63,1
1603,5,42,1
1604,32,45,1
